 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://100.115.92.200:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 141-951-894
127.0.0.1 - - [22/Jun/2026 10:41:31] "HEAD / HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:06] "GET / HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:06] "[33mGET /static/placeholder.jpg HTTP/1.1[0m" 404 -
100.115.92.25 - - [22/Jun/2026 10:42:06] "GET /static/css/style.css HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:06] "GET /static/js/main.js HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:07] "[33mGET /static/placeholder.jpg HTTP/1.1[0m" 404 -
100.115.92.25 - - [22/Jun/2026 10:42:07] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
100.115.92.25 - - [22/Jun/2026 10:42:32] "[33mGET /static/placeholder.jpg HTTP/1.1[0m" 404 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "POST /api/login HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "GET /api/receptionist/patients HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "GET /static/uploads/patients/patient_20260608_194514.jpg HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "GET /static/uploads/patients/patient_20260611_115735.jpg HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "GET /static/uploads/patients/patient_20260608_102530.jpg HTTP/1.1" 200 -
100.115.92.25 - - [22/Jun/2026 10:42:58] "GET /static/uploads/patients/patient_20260604_110107.jpg HTTP/1.1" 200 -
